File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,1.31412,1.86173,0.189952,0.473698,0.508201,1.413894
2.xlsx,1.282759,2.323021,0.136385,0.304099,0.570928,1.225928
3.xlsx,1.601613,2.446091,0.248146,0.495029,0.60636,1.163553
4.xlsx,1.348899,2.497527,0.327703,0.650676,0.619236,1.122439
5.xlsx,0.992612,3.300139,0.162619,0.412591,0.629211,1.518599
