File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.391172,0.503861,0.026578,0.111999,0.223627,0.288983
2.xlsx,0.326329,0.648737,0.016609,0.220188,0.250977,0.277236
3.xlsx,0.304107,0.585841,0.020596,0.103142,0.220585,0.22808
4.xlsx,0.398864,0.829736,0.026677,0.189567,0.255502,0.37744
5.xlsx,0.408652,0.789545,0.037628,0.158992,0.248829,0.327159
