File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.396098,0.765845,0.055439,0.304017,0.219061,0.356438
2.xlsx,0.568006,0.493082,0.044413,0.192195,0.200086,0.387193
3.xlsx,0.592343,0.455007,0.110996,0.536911,0.254213,0.227797
4.xlsx,0.712298,0.891886,0.096462,0.315453,0.25917,0.331301
5.xlsx,0.514007,1.075063,0.053171,0.266655,0.238622,0.33518
