File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.452752,0.256614,0.282515,0.305426,0.057262,0.413182
2.xlsx,0.112326,0.386965,0.049384,0.111422,0.11394,0.226307
3.xlsx,0.122293,0.619019,0.024225,0.046754,0.080346,0.296829
4.xlsx,0.125928,0.631908,0.031461,0.087099,0.071356,0.460155
5.xlsx,0.227141,0.552818,0.040183,0.080824,0.066688,0.676474
