File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.26589,1.046191,0.106165,1.765063,0.106922,0.523125
2.xlsx,0.381665,1.102743,0.071046,2.454918,0.087055,0.918454
3.xlsx,0.218121,1.002499,0.153115,1.152161,0.133634,0.563535
4.xlsx,0.29066,0.759854,0.056155,1.548543,0.105014,0.723377
5.xlsx,0.2536,0.900275,0.092076,0.836832,0.09845,0.325179
