File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.591551,1.441658,0.063689,0.254077,0.221517,0.92666
2.xlsx,0.462411,1.471335,0.080663,0.312523,0.291201,0.79161
3.xlsx,0.407424,2.027179,0.071413,0.342298,0.193089,1.08855
4.xlsx,0.431715,1.738581,0.067927,0.320193,0.202274,1.175715
5.xlsx,0.482322,1.481574,0.06944,0.294328,0.243869,0.899608
