File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.191034,0.116969,0.010872,0.006149,0.1006,0.146835
2.xlsx,0.104128,0.119292,0.009274,0.00758,0.078743,0.124838
3.xlsx,0.091741,0.145394,0.016609,0.024309,0.105832,0.12669
4.xlsx,0.218312,0.230086,0.013109,0.025115,0.155929,0.146424
5.xlsx,0.13307,0.242833,0.024992,0.021213,0.126387,0.645566
