File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,1.279086,3.369508,0.290859,0.955344,0.785269,2.702926
2.xlsx,0.923732,1.63784,0.151025,0.517829,0.551397,2.029211
3.xlsx,0.923227,2.70101,0.301703,0.983401,0.51397,2.042856
4.xlsx,0.86368,4.234155,1.79989,10.426669,0.802417,1.573643
5.xlsx,1.049296,1.824265,0.306737,0.702038,0.415606,1.761401
