File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.041082,0.11255,0.003542,0.008408,0.037364,0.112578
2.xlsx,0.03977,0.133601,0.004026,0.009801,0.026838,0.071139
3.xlsx,0.040109,0.107014,0.003595,0.005588,0.025575,0.061414
4.xlsx,0.049614,0.109362,0.003363,0.009894,0.017255,0.066389
5.xlsx,0.054207,0.15509,0.003459,0.003538,0.029016,0.095838
