File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.30941,0.67871,0.048253,0.237296,0.304559,0.202587
2.xlsx,0.112375,0.191552,0.008385,0.017883,0.210378,0.157955
3.xlsx,0.077109,0.162284,0.020556,0.032252,0.1118,0.169657
4.xlsx,0.41141,0.838328,0.017897,0.032222,0.308301,0.611249
5.xlsx,0.127918,0.520513,0.014152,0.033067,0.103096,0.279975
