28004,5
2.210768,3.669978,4.591267,5.502458,5.530406,4.580165,3.648653,2.446336,2.005227,2.279440,3.242214,4.155888,4.943692,5.341297,5.406822,6.007024
2.219311,3.539288,4.732317,5.455940,5.308658,4.663863,3.613816,2.446336,1.997503,2.335496,3.159611,4.281443,4.943692,5.158467,5.480116,5.829752
2.219311,3.603565,4.660770,5.646704,5.308658,4.663863,3.613816,2.427638,1.997503,2.297879,3.159611,4.230375,4.943692,5.158467,5.555387,5.873088
2.210768,3.539288,4.625769,5.597819,5.395232,4.663863,3.613816,2.427638,1.989825,2.297879,3.146201,4.230375,4.943692,5.158467,5.480116,5.873088
2.202277,3.560483,4.523718,5.597819,5.266382,4.721233,3.596608,2.427638,1.974606,2.270310,3.200447,4.180442,4.943692,5.158467,5.480116,5.873088
2.193838,3.539288,4.523718,5.597819,5.308658,4.663863,3.596608,2.427638,1.944701,2.270310,3.173122,4.131604,4.943692,5.158467,5.480116,5.873088
2.185450,3.477044,4.660770,5.455940,5.266382,4.663863,3.529135,2.427638,1.959566,2.279440,3.132889,4.255765,4.854219,5.088761,5.555387,5.873088
2.185450,3.477044,4.523718,5.502458,5.308658,4.721233,3.529135,2.427638,1.952112,2.270310,3.173122,4.107585,4.974220,5.123380,5.593790,5.873088
2.185450,3.477044,4.557253,5.597819,5.308658,4.635654,3.613816,2.446336,1.959566,2.288629,3.159611,4.131604,4.974220,5.158467,5.480116,5.829752
2.185450,3.477044,4.557253,5.597819,5.530406,4.721233,3.613816,2.446336,1.974606,2.297879,3.173122,4.180442,4.854219,5.194034,5.593790,5.873088
2.168825,3.436627,4.591267,5.597819,5.308658,4.779913,3.596608,2.455774,2.005227,2.297879,3.146201,4.230375,4.943692,5.194034,5.593790,5.961709
2.185450,3.436627,4.523718,5.320807,5.439564,4.607757,3.648653,2.455774,2.005227,2.297879,3.186733,4.230375,4.974220,5.303710,5.406822,6.007024
2.144261,3.625459,4.660770,5.365133,5.576954,4.525876,3.613816,2.533513,2.020814,2.261240,3.186733,4.333687,4.796266,5.418086,5.632720,5.917069
2.128127,3.539288,4.732317,5.365133,5.351602,4.779913,3.545803,2.484455,2.052559,2.307190,3.146201,4.441878,4.854219,5.230089,5.632720,5.917069
2.185450,3.477044,4.523718,5.597819,5.439564,4.580165,3.648653,2.474834,2.012997,2.316562,3.228186,4.180442,4.974220,5.341297,5.443227,6.007024
2.120132,3.560483,4.660770,5.191935,5.624281,4.779913,3.596608,2.523573,2.044550,2.270310,3.159611,4.360264,4.767781,5.230089,5.632720,5.873088
2.120132,3.497573,4.660770,5.277177,5.351602,4.692387,3.545803,2.455774,2.044550,2.288629,3.146201,4.387151,4.825077,5.158467,5.632720,5.873088
2.144261,3.539288,4.523718,5.320807,5.576954,4.525876,3.648653,2.494140,2.005227,2.270310,3.214264,4.230375,4.825077,5.379419,5.480116,6.007024
2.104281,3.560483,4.660770,5.365133,5.576954,4.525876,3.613816,2.513698,2.036590,2.252229,3.186733,4.360264,4.796266,5.418086,5.555387,5.961709
