File,Max_AD_MMG,Max_SN_MMG,Max_AD_SSW,Max_SN_SSW,Max_AD_LE,Max_SN_LE
1.xlsx,0.74976,1.280975,0.058225,0.129395,0.115948,0.555182
2.xlsx,0.36839,1.103372,0.139394,0.160199,0.144241,1.014325
3.xlsx,1.429865,1.729797,0.127677,0.590959,0.246995,1.082131
4.xlsx,0.21963,1.436389,0.026698,0.034125,0.21439,1.329824
5.xlsx,0.202069,2.035404,0.007153,0.046477,0.159713,1.374922
